,Estimator,Time,Best Params
201,DTR,3.32400012016,"{'splitter': 'best', 'max_depth': 6}"
202,DTR,3.29699993134,"{'splitter': 'random', 'max_depth': 7}"
203,DTR,3.15799999237,"{'splitter': 'best', 'max_depth': 6}"
204,SVR,3.6899998188,"{'C': 10, 'gamma': 0.0001}"
205,RFR,10.8440001011,"{'n_estimators': 30, 'min_samples_split': 4, 'bootstrap': True, 'max_features': 'log2'}"
206,DTR,3.29399991035,"{'splitter': 'random', 'max_depth': 10}"
207,SVR,3.73600006104,"{'C': 10, 'gamma': 0.0001}"
208,RFR,12.1589999199,"{'n_estimators': 40, 'min_samples_split': 2, 'bootstrap': False, 'max_features': 'auto'}"
209,DTR,3.20299983025,"{'splitter': 'best', 'max_depth': 1}"
210,DTR,3.28099989891,"{'splitter': 'random', 'max_depth': 7}"
211,SVR,3.76800012589,"{'C': 10, 'gamma': 0.0001}"
212,RFR,12.1079998016,"{'n_estimators': 20, 'min_samples_split': 4, 'bootstrap': True, 'max_features': 'auto'}"
213,DTR,3.18799996376,"{'splitter': 'best', 'max_depth': 2}"
214,DTR,3.28099989891,"{'splitter': 'random', 'max_depth': 1}"
215,SVR,3.72500014305,"{'C': 1, 'gamma': 0.0001}"
216,RFR,12.8940000534,"{'n_estimators': 10, 'min_samples_split': 8, 'bootstrap': True, 'max_features': 'log2'}"
217,DTR,3.41499996185,"{'splitter': 'best', 'max_depth': 10}"
218,SVR,3.90899991989,"{'C': 1000, 'gamma': 'auto'}"
219,RFR,14.007999897,"{'n_estimators': 30, 'min_samples_split': 2, 'bootstrap': False, 'max_features': 'sqrt'}"
220,DTR,3.43799996376,"{'splitter': 'best', 'max_depth': 8}"
221,SVR,3.90700006485,"{'C': 10, 'gamma': 'auto'}"
222,RFR,10.8409998417,"{'n_estimators': 30, 'min_samples_split': 8, 'bootstrap': True, 'max_features': 'auto'}"
223,DTR,3.375,"{'splitter': 'best', 'max_depth': 6}"
224,DTR,3.24399995804,"{'splitter': 'random', 'max_depth': 9}"
225,SVR,3.95499992371,"{'C': 1000, 'gamma': 0.001}"
226,DTR,3.17200016975,"{'splitter': 'best', 'max_depth': 9}"
227,DTR,3.23699998856,"{'splitter': 'best', 'max_depth': 1}"
228,SVR,3.72000002861,"{'C': 100, 'gamma': 'auto'}"
229,RFR,10.3129999638,"{'n_estimators': 30, 'min_samples_split': 2, 'bootstrap': False, 'max_features': 'sqrt'}"
230,DTR,3.23500013351,"{'splitter': 'random', 'max_depth': 9}"
231,SVR,3.92199993134,"{'C': 1000, 'gamma': 'auto'}"
232,RFR,15.1300001144,"{'n_estimators': 40, 'min_samples_split': 2, 'bootstrap': False, 'max_features': 'log2'}"
233,DTR,3.36100006104,"{'splitter': 'best', 'max_depth': 7}"
234,DTR,3.2349998951,"{'splitter': 'best', 'max_depth': 3}"
235,DTR,3.21799993515,"{'splitter': 'random', 'max_depth': 2}"
236,SVR,3.86100006104,"{'C': 100, 'gamma': 0.0001}"
237,RFR,13.4719998837,"{'n_estimators': 20, 'min_samples_split': 2, 'bootstrap': True, 'max_features': 'auto'}"
238,DTR,3.33800005913,"{'splitter': 'random', 'max_depth': 7}"
239,SVR,3.65600013733,"{'C': 1000, 'gamma': 0.001}"
240,RFR,11.9799997807,"{'n_estimators': 40, 'min_samples_split': 2, 'bootstrap': False, 'max_features': 'sqrt'}"
241,DTR,3.25,"{'splitter': 'random', 'max_depth': 8}"
242,SVR,3.92299985886,"{'C': 1000, 'gamma': 'auto'}"
243,RFR,11.7210001945,"{'n_estimators': 10, 'min_samples_split': 8, 'bootstrap': False, 'max_features': 'log2'}"
244,DTR,3.31399989128,"{'splitter': 'best', 'max_depth': 8}"
245,DTR,3.23199987411,"{'splitter': 'random', 'max_depth': 5}"
246,SVR,3.88899993896,"{'C': 10, 'gamma': 0.001}"
247,RFR,12.359000206,"{'n_estimators': 20, 'min_samples_split': 2, 'bootstrap': False, 'max_features': 'log2'}"
248,DTR,3.37800002098,"{'splitter': 'random', 'max_depth': 2}"
249,SVR,4.95000004768,"{'C': 100, 'gamma': 0.001}"
250,RFR,18.2929999828,"{'n_estimators': 40, 'min_samples_split': 4, 'bootstrap': False, 'max_features': 'sqrt'}"
251,DTR,3.41799998283,"{'splitter': 'random', 'max_depth': 4}"
252,SVR,4.00900006294,"{'C': 10, 'gamma': 'auto'}"
253,RFR,12.5880000591,"{'n_estimators': 30, 'min_samples_split': 2, 'bootstrap': True, 'max_features': 'sqrt'}"
254,DTR,3.27900004387,"{'splitter': 'random', 'max_depth': 7}"
255,SVR,3.65700006485,"{'C': 10, 'gamma': 0.0001}"
256,RFR,11.0590000153,"{'n_estimators': 20, 'min_samples_split': 4, 'bootstrap': False, 'max_features': 'sqrt'}"
257,DTR,3.57899999619,"{'splitter': 'random', 'max_depth': 8}"
258,SVR,4.11100006104,"{'C': 100, 'gamma': 'auto'}"
259,RFR,17.0839998722,"{'n_estimators': 30, 'min_samples_split': 2, 'bootstrap': False, 'max_features': 'sqrt'}"
260,DTR,7.28700017929,"{'splitter': 'best', 'max_depth': 8}"
261,DTR,7.11299991608,"{'splitter': 'random', 'max_depth': 10}"
